Животные|акула|морской хищник
Животные|бабочка|насекомое с красивыми крыльями
Животные|жираф|самое высокое животное
Животные|змея|безногие пресмыкающиеся
Животные|корова|сельскохозяйственное животное, дающее молоко
Животные|кот|домашнее животное, мурлыкает
Животные|краб|морское животное с клешнями
Животные|крокодил|крупный пресмыкающийся с мощными челюстями
Животные|кролик|ушастое животное, любит морковь
Животные|курица|домашняя птица, несёт яйца
Животные|лошадь|животное для верховой езды
Животные|лягушка|земноводное, прыгает и квакает
Животные|медведь|крупный лесной хищник
Животные|носорог|животное с рогом на носу
Животные|овца|животное, дающее шерсть
Животные|свинья|животное, от которого получают бекон
Животные|черепаха|животное с панцирем
Техника|калькулятор|прибор для вычислений
Техника|клавиатура|устройство ввода текста на компьютере
Техника|компьютер|электронное устройство для обработки данных
Техника|микрофон|устройство для записи звука
Техника|монитор|экран компьютера
Техника|ноутбук|портативный компьютер
Техника|принтер|устройство для печати
Техника|сервер|компьютер для управления сетью
Техника|телефон|устройство для голосовой связи
Фрукты|абрикос|оранжевый плод с косточкой
Фрукты|ананас|тропический фрукт с листьями на макушке
Фрукты|апельсин|цитрусовый фрукт, богатый витамином С
Фрукты|банан|длинный желтый фрукт
Фрукты|груша|сладкий фрукт с формой капли
Фрукты|киви|зеленый фрукт с коричневой кожицей
Фрукты|лимон|кислый цитрусовый фрукт
Фрукты|манго|тропический фрукт с сочной мякотью
Фрукты|яблоко|круглый фрукт, часто красного или зеленого цвета
Овощи|баклажан|фиолетовый овощ
Овощи|кабачок|зеленый или желтый удлиненный овощ
Овощи|капуста|зелёный или фиолетовый овощ с листьями
Овощи|картофель|корнеплод, используется для приготовления пюре
Овощи|лук|овощ, вызывающий слезы при нарезке
Овощи|морковь|оранжевый корнеплод
Овощи|огурец|зеленый овощ, часто используется в салатах
Овощи|перец|овощ, может быть сладким или острым
Овощи|помидор|красный овощ, часто считается фруктом
Цвета|красный|#ff0000
Цвета|желтый|#ffff00
Цвета|черный|#000000
Цвета|оранжевый|#ff8000
Цвета|фиолетовый|#8000ff
Цвета|синий|#0000ff
Цвета|зеленый|#00ff00
Цвета|белый|#ffffff
Цвета|серый|#808080
Цвета|коричневый|#57412f